CpG_ID,B,CD4T,CD8T,Mono,nRBC,Gran,NK,aCD4Tnv,aBaso,aCD4Tmem,aBmem,aBnv,aTreg,aCD8Tmem,aCD8Tnv,aEos,aNK,aNeu,aMono
cg13974894,0.23238439305983166,0.9374829076984743,0.9375877847293954,0.9307345255297181,0.8760241631653221,0.9367280129621292,0.9140131838351957,0.9240872727871616,0.9373668548508901,0.937268453889788,0.7803792758432886,0.7760805388654164,0.9073760706867422,0.9295310798873159,0.9227343957630658,0.9313527642505427,0.9203971766710961,0.9266957641566689,0.9426190810019626
cg22840234,0.28769476240844294,0.9511212085013373,0.9490852001023582,0.9128256697639214,0.7399088068096663,0.8952234392601951,0.9378461822754016,0.9163160768912444,0.888859818372497,0.9037328465007465,0.7136474783904514,0.8169287394297806,0.8919295972583374,0.8819616144516003,0.9133563882277654,0.8818465813492808,0.8923866029772645,0.8634173650526917,0.8908739422303702
cg11629955,0.4496779171393808,0.92844895967903,0.9298427724967968,0.881321445057131,0.8647833658626738,0.9027853450377368,0.8684579019050516,0.9503174313293158,0.9469198909119285,0.9490486812994502,0.9353155921467551,0.7610620375771775,0.9310366447403593,0.9242626437725525,0.9499164312459449,0.9640071279863005,0.9519924533910984,0.9458351872827929,0.9510655101433688
cg07425109,0.24245941887057304,0.7996611038929663,0.7902047376270473,0.7408480809117752,0.7313254264218132,0.6545608025443551,0.7274575939590038,0.9307163773844919,0.9202688331548929,0.9321499996579445,0.7040893096830931,0.7695632016887333,0.9093667846083725,0.9070510381239884,0.9384146841525878,0.8736188264244491,0.9409387042196431,0.8798120406539783,0.917117135618837
cg04555379,0.5906571423527354,0.9511493919387497,0.9508170689216556,0.952396888711567,0.9236583710678741,0.9557890618996383,0.9517258698962208,0.938616838166545,0.9597717432802759,0.9601646621109731,0.8584429308101769,0.8250104815898545,0.9560762332036176,0.9539804154057767,0.9551771987575515,0.9501959177573517,0.9584458739588428,0.9420928009403291,0.9537687011495436
cg21211645,0.31099896351593354,0.9257163709899654,0.9360947795783475,0.8747001391079756,0.9068028087261,0.8440652696059588,0.9347579908256061,0.9470061004322298,0.9660196823064097,0.9603684884100191,0.8902776504002181,0.5319306286244885,0.9468382137792,0.9523116605929745,0.9414989642589449,0.9580817613525208,0.9584315085874411,0.8073894932362586,0.8808144612600235
cg27575873,0.47184885284168665,0.9118144143423239,0.9176013447999689,0.93635857887556,0.792971690472085,0.938728047730952,0.897336280391742,0.9247833998296062,0.8918646910761554,0.9428907810546721,0.7902128547307083,0.8354651501387043,0.929502765096859,0.9342069723573592,0.9477844534048669,0.9270512561824085,0.9292139790802809,0.9318348750229625,0.9452213145734671
cg06942637,0.22442465321563682,0.9055226824457594,0.9071098907649768,0.8946949791641878,0.8341348842411364,0.8755589613181949,0.9064238015028252,0.9061546991960078,0.8713273480310113,0.849762066621346,0.7007252298996025,0.5539716150669534,0.8920260928828742,0.8960525807046451,0.920512898139753,0.8428634223684994,0.9122736701541612,0.8654342965252209,0.8899604352126608
cg07490283,0.5395847318342758,0.9596380989893709,0.965334072489772,0.9621936315979004,0.811858009425893,0.9570106464424168,0.9585335771657957,0.9683508156861431,0.9643984867962662,0.9381900996133195,0.8730946411522563,0.8544709591657077,0.9462967569181219,0.9002422818100886,0.9545149044956489,0.9621805103670165,0.9455735678976512,0.9524234882253129,0.9555122671908153
cg27168131,0.4475519251166668,0.9523499912770906,0.9489277518724466,0.9457722339550854,0.9025205780055627,0.9438885403350643,0.9507159345807829,0.9476709087204789,0.9472179762485086,0.9491171681008324,0.8009350019812875,0.7093114835054422,0.9303536192356919,0.9399344160735374,0.9323922236409794,0.9559382350160591,0.9492744292494867,0.9368272100974036,0.9506131341850966
cg24303332,0.46351254845501544,0.829246814017185,0.8616970743157648,0.8218429200128259,0.8453842489539171,0.8414955569770425,0.866180562220751,0.9065943115146893,0.9441265238309531,0.9389034665503191,0.9282464479036407,0.7536870127241079,0.919935949005708,0.9184971255492966,0.8721550718417149,0.9339657133335681,0.9087113037769492,0.9016338806178457,0.9158133741220401
cg02903589,0.24937040861525256,0.6339636840535668,0.6182051411263141,0.8464332478027251,0.8283754227395353,0.8183416586493923,0.5359836973241003,0.772766393962169,0.8821676641818317,0.8559438761989225,0.5884206176422775,0.4623165536054375,0.8162946983431663,0.6781759633303857,0.758073257228096,0.8169103810263456,0.7247438841048306,0.7909287462594127,0.8543651864020909
cg08162224,0.3427247368045164,0.7741722876285068,0.9231119469071648,0.9264571987693053,0.9403937250714263,0.9317499235606158,0.759184426290102,0.9347911073957447,0.9620423204763996,0.8963654986810351,0.8125518119730412,0.6925946883087428,0.8678034645488242,0.9384958239530321,0.9612771637362638,0.9707612175514786,0.9252053401825768,0.9462603997272593,0.949627064061223
cg06340516,0.118404302269283,0.5484212782597386,0.5299954430015061,0.6103480961506169,0.590996593857834,0.6044036354281654,0.5188764688637516,0.6174049726191205,0.6075365163844446,0.5527799417682276,0.30525593035226795,0.35286431455340395,0.4275290761683786,0.4860706467459978,0.5867567462735895,0.6131957709639555,0.602001623189098,0.5966454603759748,0.6217090062767693
cg01824412,0.5850427453444877,0.9582580731744715,0.9407248979416694,0.9418785838296242,0.879836076527696,0.9516937766574687,0.8899185084919087,0.9785862678283251,0.9624562288175886,0.9777814530276122,0.8609063217274409,0.8575725224508005,0.9848893333171642,0.9763332484810352,0.9719308418790453,0.9243246767070981,0.8925546869603509,0.9468402515420509,0.9544092726831799
cg01692110,0.2821013883543706,0.9484874950809078,0.949145899824259,0.8716961430617396,0.8731762924453221,0.8189920752504213,0.8511156183988915,0.952350962157295,0.9146188541430911,0.9247407382389925,0.6076238439714734,0.4466325757542649,0.9407653555743356,0.8795078533640828,0.9543142756230142,0.9089616386188355,0.9284412292469186,0.7873230081581726,0.8732548995240995
cg15939287,0.11769854968825771,0.8378143023602894,0.8447532635150237,0.928006784048603,0.7896690984267789,0.9448211743953444,0.7205317215525164,0.9576272248416635,0.9685428767529529,0.9562736208696886,0.28949058726507976,0.320566648433074,0.9474221126165193,0.9149908607121806,0.9486104769877108,0.9753142491097175,0.8662627969095733,0.9582621562038016,0.9609393042536527
cg14391240,0.40713903887948066,0.844894213747907,0.8334867620478137,0.8226123890402002,0.6101194962588419,0.824811424999959,0.7898665102573632,0.8388303530481465,0.807525550409438,0.7609978054685487,0.5916575141410074,0.6361073266588531,0.6554484696183168,0.7017816481938576,0.8001573438055108,0.798965069490166,0.8015417882869,0.8181164712409179,0.8367426719074704
cg08449164,0.16587129235157777,0.8797886550948063,0.8130828935811161,0.7431742755403324,0.5325034636950573,0.7613565213294559,0.8993615660404823,0.9732383211995307,0.8253164969833634,0.9679282438602788,0.6517822035650911,0.3024359813049267,0.9651128915186766,0.9613904901164652,0.942106184590056,0.6757645442986184,0.9403621572575783,0.8233644809686804,0.8721400766676242
