cpg,d_GSE51057,d_GSE51032,concordant_strong,mean_abs_d,CHR,MAPINFO
cg00002033,-0.9370206501715383,-0.1920637575183611,False,0.5645422038449498,19,39307841.0
cg00002426,-0.4369606574611838,-0.2053171577830403,False,0.321138907622112,3,57757816.0
cg00004700,-0.239021429139468,0.1268585139097298,False,0.1829399715245989,2,105397428.0
cg00007466,-0.6853711800699338,-0.2539676634482047,False,0.4696694217590693,19,7520200.0
cg00009750,-0.8134721960700803,0.2691727543760529,False,0.5413224752230665,2,201866169.0
cg00014203,-0.0254925539495007,0.0608478763285305,False,0.0431702151390156,17,7854651.0
cg00015530,0.7504720060535643,-0.0879011084372003,False,0.4191865572453823,8,143978782.0
cg00017461,-0.3908867975203209,-0.2311846310436209,False,0.3110357142819709,22,30267327.0
cg00018229,-0.7581081605834211,-0.9487005761894564,True,0.8534043683864387,1,230977673.0
cg00021152,-0.6728986088248501,0.0481449171664523,False,0.3605217629956512,8,26509572.0
cg00023321,-1.444087427672343,-0.5695494263700852,True,1.0068184270212142,6,31543586.0
cg00025331,0.3694886567068147,-0.393501402583323,False,0.3814950296450689,2,144389783.0
cg00026290,-0.1144703689134686,-0.1081976711204755,False,0.111334020016972,4,10684930.0
cg00028336,-0.8511760518874087,0.23308231274572,False,0.5421291823165644,4,185820634.0
cg00028929,-0.3919163857484931,0.2395747550817941,False,0.3157455704151436,12,52514694.0
cg00031013,-0.1282791897269849,-0.3566895464896806,False,0.2424843681083327,17,7854615.0
cg00031187,0.1225011723003235,0.1895140211799192,False,0.1560075967401213,12,31370063.0
cg00034336,-0.3242700782711862,-0.1843617516606978,False,0.254315914965942,2,8543996.0
cg00037681,0.4249748065573078,0.6258595098339095,True,0.5254171581956086,12,47216588.0
cg00040016,-0.4778409073476455,-0.2295196617130955,False,0.3536802845303705,17,59755925.0
cg00041401,-0.1533105770293555,-0.1283003645246214,False,0.1408054707769884,1,113871786.0
cg00041575,0.419655995349157,-0.099882414215286,False,0.2597692047822215,11,2301511.0
cg00041865,-0.8339863920617712,-0.4801283108827884,True,0.6570573514722797,5,14904314.0
cg00043076,0.0796291457086326,0.0993282146445328,False,0.0894786801765827,4,8442050.0
cg00045607,-0.1092352039589689,-0.1123073101971626,False,0.1107712570780657,1,161069900.0
cg00045753,-0.4066078304632991,-0.1310118744757838,False,0.2688098524695415,9,120868267.0
cg00047683,-0.219798105326129,-0.2152761343091829,False,0.2175371198176559,16,72000223.0
cg00048743,-0.0766864702530145,-0.1361665021806177,False,0.1064264862168161,5,141402800.0
cg00051307,-0.1544048255794402,-0.0518153222759038,False,0.103110073927672,5,73228366.0
cg00055073,-0.1312120710458941,-0.2981425904682351,False,0.2146773307570646,2,43170979.0
cg00057966,-0.0819839272788726,-0.186973396651545,False,0.1344786619652088,17,58331333.0
cg00058291,0.1881788139542244,0.0160631102162956,False,0.10212096208526,1,228838386.0
cg00058449,-0.2143535642044498,-0.4438131727460662,False,0.329083368475258,6,31900179.0
cg00058887,0.081357427779409,-0.0807835913232668,False,0.0810705095513379,4,183987865.0
cg00067884,-1.2073317715251943,-0.6677769548678595,True,0.9375543631965269,15,63677999.0
cg00070899,-0.6501269376727047,-0.0780156831472626,False,0.3640713104099836,6,34056702.0
cg00075967,-0.4570260556803673,-0.2429717816773311,False,0.3499989186788492,15,74203013.0
cg00078348,0.5580071185755697,0.1872884352525383,False,0.372647776914054,11,113974765.0
cg00081602,-0.7804423179621909,0.0284627150521146,False,0.4044525165071527,5,73627132.0
cg00082235,-0.0962478499334836,-0.639814407168261,False,0.3680311285508723,12,6555370.0
cg00090674,-0.7566168880890259,-0.1583996499713544,False,0.4575082690301901,22,50008249.0
cg00092400,-0.3032621668538085,0.0556545971787659,False,0.1794583820162872,12,51394501.0
cg00098182,-0.2714177203221372,0.1655098151936813,False,0.2184637677579093,15,22879895.0
cg00100680,-0.7174427250098095,-0.3822025183517982,True,0.5498226216808039,4,4404473.0
cg00101602,-0.5847729957011115,-0.1373200627930872,False,0.3610465292470994,10,72098085.0
cg00118342,-0.0759487531933948,-0.2900829417664333,False,0.183015847479914,2,106160582.0
cg00130808,-0.4195604624323581,-0.5502320732144411,True,0.4848962678233996,15,36886708.0
cg00136822,-0.6489705276906722,-0.7007156043439453,True,0.6748430660173088,12,46221071.0
cg00141162,0.2155105857005232,-0.6901916176738631,False,0.4528511016871931,3,121660930.0
cg00143809,-0.7603902064010275,0.3507867875276461,False,0.5555884969643368,22,50282123.0
cg00144425,-0.3376688185134016,-0.0037755412942435,False,0.1707221799038225,7,152852174.0
cg00147943,-0.5688918423272091,0.1833494346095281,False,0.3761206384683686,1,67760030.0
cg00149213,0.8419801179417606,-0.2298811088783691,False,0.5359306134100649,1,160647334.0
cg00150245,-0.3034683640324727,0.2125221713594798,False,0.2579952676959762,16,19111382.0
cg00150520,0.0243711180468218,0.2002953533404112,False,0.1123332356936165,1,44617233.0
cg00154950,0.0541487664381696,0.4550715655562411,False,0.2546101659972054,8,4116508.0
cg00157012,-0.2693492903718095,-0.2253551449424941,False,0.2473522176571518,8,25201736.0
