"probeID","EID","BE","EC","Fib","LE","Leu","SM","weight"
"cg00004700","2274","0.0","nan","nan","nan","nan","nan","0.0"
"cg00011460","54502","0.684375","0.684375","0.684375","0.0","0.684375","0.684375","0.684375"
"cg00011856","3488","0.5125","0.5125","0.0","0.5125","0.5125","0.0","0.5125"
"cg00013451","6781","0.058897066486529315","0.0","0.058897066486529315","0.058897066486529315","0.058897066486529315","0.058897066486529315","0.058897066486529315"
"cg00014112","2995","0.5969758988045732","0.5969758988045732","0.0","0.5969758988045732","0.5969758988045732","0.5969758988045732","0.5969758988045732"
"cg00028929","3852","0.0","0.8081074017886702","0.8081074017886702","0.8081074017886702","0.8081074017886702","0.8081074017886702","0.8081074017886702"
"cg00031256","1992","0.48","0.48","0.48","0.48","0.0","0.48","0.48"
"cg00044097","2274","0.0","nan","nan","nan","nan","nan","0.0"
"cg00047147","3108","nan","nan","nan","nan","0.0","nan","0.0"
"cg00049440","687","0.47","0.47","0.47","0.47","0.47","0.0","0.47"
"cg00054525","1535","nan","nan","nan","nan","0.0","nan","0.0"
"cg00078940","9555","nan","nan","nan","nan","0.0","nan","0.0"
"cg00082897","1890","0.06838709677419355","0.06838709677419355","0.06838709677419355","0.06838709677419355","0.0","0.06838709677419355","0.06838709677419355"
"cg00087425","3569","0.1701842557021957","0.1701842557021957","0.0","0.1701842557021957","0.1701842557021957","0.1701842557021957","0.1701842557021957"
"cg00091633","11167","nan","nan","0.0","nan","nan","nan","0.0"
"cg00108454","712","0.85","0.85","0.85","0.85","0.0","0.85","0.85"
"cg00134295","2","0.9135720165548153","0.9135720165548153","0.0","0.9135720165548153","0.9135720165548153","0.0","0.9135720165548153"
"cg00136477","714","0.8866666666666667","0.8866666666666667","0.8866666666666667","0.8866666666666667","0.0","0.8866666666666667","0.8866666666666667"
"cg00141925","2","0.9135720165548153","0.9135720165548153","0.0","0.9135720165548153","0.9135720165548153","0.0","0.9135720165548153"
"cg00146928","2","0.9135720165548153","0.9135720165548153","0.0","0.9135720165548153","0.9135720165548153","0.0","0.9135720165548153"
