"probeID","EID","EC","Epi_basal","Epi_stratified","Epi_suprabasal","Epi_upper","Fib","Gland","IC","weight"
"cg00011460","54502","0.684375","0.684375","0.684375","0.684375","0.0","0.684375","0.684375","0.684375","0.684375"
"cg00011856","3488","0.5125","0.5125","0.5125","0.5125","0.5125","0.0","0.5125","0.5125","0.5125"
"cg00014754","8000","0.6084291502812684","0.6084291502812684","0.6084291502812684","0.6084291502812684","0.0","0.6084291502812684","0.6084291502812684","0.6084291502812684","0.6084291502812684"
"cg00023919","29984","0.0473529411764705","0.0473529411764705","0.0","0.0473529411764705","0.0","0.0473529411764705","0.0473529411764705","0.0473529411764705","0.0473529411764705"
"cg00051483","168537","0.0","0.7504331019515231","0.7504331019515231","0.7504331019515231","0.7504331019515231","0.7504331019515231","0.7504331019515231","0.7504331019515231","0.7504331019515231"
"cg00082664","6423","0.02","0.02","0.02","0.02","0.02","0.0","0.02","0.02","0.02"
"cg00093794","55001","0.1206666666666666","0.1206666666666666","0.1206666666666666","0.1206666666666666","0.0","0.1206666666666666","0.1206666666666666","0.1206666666666666","0.1206666666666666"
"cg00110675","23564","0.035378180641","0.035378180641","0.035378180641","0.035378180641","0.035378180641","0.0","0.0","0.035378180641","0.035378180641"
"cg00115288","64787","0.0638095238095238","0.0638095238095238","0.0638095238095238","0.0638095238095238","0.0","0.0638095238095238","0.0638095238095238","0.0638095238095238","0.0638095238095238"
"cg00124375","23564","0.035378180641","0.035378180641","0.035378180641","0.035378180641","0.035378180641","0.0","0.0","0.035378180641","0.035378180641"
"cg00134295","2","0.0","0.9135720165548152","0.9135720165548152","0.9135720165548152","0.9135720165548152","0.9135720165548152","0.9135720165548152","0.9135720165548152","0.9135720165548152"
"cg00138325","647024","0.61","0.61","0.0","0.61","0.0","0.61","0.61","0.61","0.61"
"cg00141925","2","0.0","0.9135720165548152","0.9135720165548152","0.9135720165548152","0.9135720165548152","0.9135720165548152","0.9135720165548152","0.9135720165548152","0.9135720165548152"
"cg00146928","2","0.0","0.9135720165548152","0.9135720165548152","0.9135720165548152","0.9135720165548152","0.9135720165548152","0.9135720165548152","0.9135720165548152","0.9135720165548152"
"cg00149976","11343","0.1170242656449553","0.1170242656449553","0.1170242656449553","0.1170242656449553","0.0","0.1170242656449553","0.1170242656449553","0.1170242656449553","0.1170242656449553"
"cg00158934","5753","0.7243335801189887","0.7243335801189887","0.7243335801189887","0.7243335801189887","0.0","0.7243335801189887","0.7243335801189887","0.7243335801189887","0.7243335801189887"
"cg00159953","1292","0.1408949229746017","0.1408949229746017","0.1408949229746017","0.1408949229746017","0.1408949229746017","0.0","0.1408949229746017","0.1408949229746017","0.1408949229746017"
"cg00173538","647024","0.61","0.61","0.0","0.61","0.0","0.61","0.61","0.61","0.61"
"cg00175838","23564","0.035378180641","0.035378180641","0.035378180641","0.035378180641","0.035378180641","0.0","0.0","0.035378180641","0.035378180641"
"cg00185189","57016","0.654894875841362","0.654894875841362","0.0","0.0","0.654894875841362","0.654894875841362","0.654894875841362","0.654894875841362","0.654894875841362"
"cg00189989","7122","0.0","0.8970095005763045","0.8970095005763045","0.8970095005763045","0.8970095005763045","0.8970095005763045","0.8970095005763045","0.8970095005763045","0.8970095005763045"
"cg00192882","4239","0.4159903157253002","0.4159903157253002","0.4159903157253002","0.4159903157253002","0.4159903157253002","0.0","0.4159903157253002","0.4159903157253002","0.4159903157253002"
"cg00196671","1824","0.113171771053573","0.113171771053573","0.0","0.113171771053573","0.0","0.113171771053573","0.113171771053573","0.113171771053573","0.113171771053573"
"cg00197495","5507","0.0226315789473684","0.0226315789473684","0.0226315789473684","0.0226315789473684","0.0","0.0226315789473684","0.0226315789473684","0.0226315789473684","0.0226315789473684"
"cg00221668","11187","0.826395580375821","0.826395580375821","0.0","0.0","0.0","0.826395580375821","0.826395580375821","0.826395580375821","0.826395580375821"
"cg00226904","5268","0.9380031619724644","0.0","0.0","0.0","0.9380031619724644","0.9380031619724644","0.9380031619724644","0.9380031619724644","0.9380031619724644"
"cg00245192","11343","0.1170242656449553","0.1170242656449553","0.1170242656449553","0.1170242656449553","0.0","0.1170242656449553","0.1170242656449553","0.1170242656449553","0.1170242656449553"
"cg00259249","2707","0.7929772561885285","0.7929772561885285","0.7929772561885285","0.0","0.7929772561885285","0.7929772561885285","0.7929772561885285","0.7929772561885285","0.7929772561885285"
"cg00282731","2125","0.7355827996552953","0.7355827996552953","0.7355827996552953","0.7355827996552953","0.0","0.7355827996552953","0.7355827996552953","0.7355827996552953","0.7355827996552953"
"cg00310404","84958","0.3214019591895356","0.3214019591895356","0.0","0.0","0.3214019591895356","0.3214019591895356","0.3214019591895356","0.3214019591895356","0.3214019591895356"
"cg00312125","51316","0.7542532333477671","0.7542532333477671","0.7542532333477671","0.7542532333477671","0.0","0.7542532333477671","0.7542532333477671","0.7542532333477671","0.7542532333477671"
"cg00327577","29108","0.0728021978021978","0.0","0.0728021978021978","0.0","0.0728021978021978","0.0728021978021978","0.0728021978021978","0.0728021978021978","0.0728021978021978"
"cg00332212","132299","0.3514285714285714","0.0","0.3514285714285714","0.0","0.3514285714285714","0.3514285714285714","0.0","0.3514285714285714","0.3514285714285714"
"cg00339319","824","0.9067800212305476","0.9067800212305476","0.9067800212305476","0.9067800212305476","0.0","0.9067800212305476","0.9067800212305476","0.9067800212305476","0.9067800212305476"
"cg00346256","718","0.5835689820236495","0.5835689820236495","0.5835689820236495","0.5835689820236495","0.5835689820236495","0.0","0.5835689820236495","0.5835689820236495","0.5835689820236495"
"cg00358609","54869","0.1916144017270276","0.1916144017270276","0.1916144017270276","0.1916144017270276","0.0","0.1916144017270276","0.1916144017270276","0.1916144017270276","0.1916144017270276"
"cg00367515","195814","0.779596705432529","0.779596705432529","0.779596705432529","0.779596705432529","0.0","0.779596705432529","0.779596705432529","0.779596705432529","0.779596705432529"
"cg00369658","710","0.75","0.75","0.75","0.75","0.75","0.0","0.75","0.75","0.75"
"cg00375581","1292","0.1408949229746017","0.1408949229746017","0.1408949229746017","0.1408949229746017","0.1408949229746017","0.0","0.1408949229746017","0.1408949229746017","0.1408949229746017"
"cg00383081","2752","0.7249970237586538","0.0","0.7249970237586538","0.0","0.7249970237586538","0.0","0.0","0.7249970237586538","0.7249970237586538"
"cg00383136","3122","0.0","0.203312958295465","0.203312958295465","0.203312958295465","0.203312958295465","0.203312958295465","0.203312958295465","0.203312958295465","0.203312958295465"
"cg00403478","3113","0.0","0.1968861997488558","0.1968861997488558","0.1968861997488558","0.1968861997488558","0.1968861997488558","0.1968861997488558","0.1968861997488558","0.1968861997488558"
"cg00407245","54869","0.1916144017270276","0.1916144017270276","0.1916144017270276","0.1916144017270276","0.0","0.1916144017270276","0.1916144017270276","0.1916144017270276","0.1916144017270276"
"cg00416645","3488","0.5125","0.5125","0.5125","0.5125","0.5125","0.0","0.5125","0.5125","0.5125"
"cg00431549","4256","0.0","0.7755827599189722","0.7755827599189722","0.7755827599189722","0.7755827599189722","0.0","0.7755827599189722","0.7755827599189722","0.7755827599189722"
"cg00460916","3682","0.9175","0.9175","0.9175","0.0","0.9175","0.9175","0.9175","0.9175","0.9175"
"cg00462362","54869","0.1916144017270276","0.1916144017270276","0.1916144017270276","0.1916144017270276","0.0","0.1916144017270276","0.1916144017270276","0.1916144017270276","0.1916144017270276"
