CpG_ID,CD8T,CD4T,NK,Bcell,Mono,Neu
cg14232368,0.9044837332141414,0.19229212944295315,0.8917095533164133,0.8981051322092218,0.8987361764692198,0.8983025607763215
cg15087459,0.1219026133350837,0.10193455948075748,0.5990917175572344,0.8786988068101473,0.36630332868253623,0.0996330340689787
cg20538211,0.6331917567163161,0.7127981730746308,0.07507066617576563,0.7858370845041716,0.8891339024022186,0.8784654444361444
cg11944101,0.8405515936371395,0.06738112557156385,0.8418411132803815,0.9021900592510171,0.5976352180685833,0.6644866323713723
cg00219921,0.13497026857192201,0.8157856003182109,0.9258167771105992,0.9540993032726577,0.9463791817652958,0.940595319554023
cg23752651,0.12260272222422647,0.7669416025010013,0.2550985153456905,0.9494945341940079,0.9406202825352158,0.8865331019765263
cg10978799,0.2390076083073229,0.592031165320544,0.36490763416687355,0.09348891970832256,0.03585755909066313,0.04543111290106208
cg22442430,0.08694123018646424,0.07553901442269628,0.8125864169184865,0.07556536974694156,0.10726836766349579,0.255492199317811
cg12294633,0.6426043657389789,0.9173566362585923,0.08612116441695697,0.9554665138481185,0.9225365296669134,0.8053142774462096
cg05492387,0.488773551636818,0.34753992183154864,0.7256131479115144,0.21861495532581698,0.08832424731028876,0.8920696981777466
cg24336674,0.6651748879181473,0.3234443555838405,0.897247708279434,0.8691808422760657,0.9258334344554463,0.895124297366135
cg25939861,0.08166749931466667,0.825993633392268,0.6741324467891193,0.9100509552253,0.9098883984874214,0.9172176455181154
cg10639435,0.04991022985809425,0.04615430296692311,0.04764536624140693,0.5084386262797169,0.9074792171312405,0.4890000732468262
cg04965200,0.5932669206495627,0.3308443315378648,0.9154413780289232,0.913958634676023,0.9394194174534557,0.8978395570008098
cg20987610,0.7622276919858889,0.8997733032034113,0.11068744425187137,0.9041611835728518,0.8565034830174852,0.9457348203554367
cg10854441,0.32171115383010424,0.6949720838574722,0.07356657047405629,0.4054523366682304,0.07746912008558515,0.081033595475962
cg21091766,0.37108885565499344,0.8485917045220441,0.7066672129798295,0.786937880951433,0.7830855114105717,0.6602955220247628
