CpG_ID,CD8T,CD4T,NK,Bcell,Mono,Neu
cg08769189,0.19700043906731357,0.6744559119854272,0.5221495341031859,0.900692618712148,0.8218734536704967,0.695539325919102
cg07661835,0.10479028356315478,0.4526285224235613,0.8884561285785517,0.8908425094561487,0.9025191635289931,0.8894240407376017
cg00219921,0.13497026857192201,0.8157856003182109,0.9258167771105992,0.9540993032726577,0.9463791817652958,0.940595319554023
cg13468685,0.653569728528631,0.9146196639871692,0.07561249119018597,0.17330221835675236,0.03540600655297586,0.034076282327007115
cg04329870,0.2462235350469999,0.8529207642052083,0.8696747548582741,0.8999110258576325,0.9030111680947895,0.9090200963133144
cg14085952,0.7537941768456281,0.2262850516205411,0.903323438974507,0.7452843060287835,0.8062072699142748,0.9087091019487851
cg09318840,0.15178086807875296,0.6219335535000715,0.46874782592342795,0.47926874519733326,0.5281842501129863,0.5119207521001363
cg02133939,0.6590360279587496,0.8933224761101656,0.06964351892776278,0.9227432551831367,0.9184153906932238,0.9106973761554417
cg07215281,0.9294216352967668,0.32564084879485333,0.9350349266924103,0.9410552283067204,0.9436238313962859,0.9346486362537465
cg07879474,0.6571560896275035,0.682895494387683,0.1475330939737121,0.7742474872998807,0.7784597987263245,0.7604871274707867
cg00482026,0.8862479729299185,0.9377969528700433,0.08242141421430871,0.9480067530836493,0.9420115119926187,0.9384771714252583
cg20538211,0.6331917567163161,0.7127981730746308,0.07507066617576563,0.7858370845041716,0.8891339024022186,0.8784654444361444
cg00948513,0.8287442385611334,0.8933950539802966,0.11399696454105618,0.9259860194937574,0.928547785656158,0.9210622443132334
cg11525052,0.19028902493702501,0.6460391768341702,0.10350992880489285,0.22744379922681615,0.04886442390360236,0.045906630593563556
cg22442430,0.08694123018646424,0.07553901442269628,0.8125864169184865,0.07556536974694156,0.10726836766349579,0.255492199317811
cg10796068,0.758873499225267,0.9043153776321344,0.08831389028501428,0.9174461966983493,0.9409421930677032,0.9320957084101493
cg17679268,0.8764638106850144,0.9141704531496246,0.0961544143870014,0.8812203813754445,0.8114736272511743,0.8140464924346471
cg27249387,0.941177692147895,0.9351518406675505,0.9313426378565257,0.9281658147949939,0.07722840756330528,0.8568072166613925
cg14047092,0.8535470931487883,0.9242539610756266,0.09720675688844127,0.9479328034001411,0.9493865827635599,0.9397660817215485
cg04298647,0.7450005071335393,0.3892098115736226,0.8433989170500138,0.789590161434978,0.8435408781954836,0.8471903822158495
cg14133557,0.7918829279866512,0.7597809726969862,0.06080413717313542,0.708932669743056,0.6915078379655919,0.7149426551408344
cg03918239,0.6782927230067699,0.7715548335606947,0.06659567113861654,0.9562537748214444,0.9264236121294454,0.8462430550933719
cg22130673,0.8286404780171138,0.8423242078288126,0.32834150600647594,0.9029922525054295,0.828030183087459,0.8393211510060398
cg04790521,0.3663763369150398,0.7355251547627224,0.8550679647306016,0.8247675220703684,0.8934886961296327,0.8752183972058953
cg24226193,0.5063315361980171,0.376423132432391,0.12559283927755077,0.19828354882939864,0.07897372495509605,0.9142772450448341
cg06335209,0.8993951240159612,0.9249828152982571,0.11387766061098151,0.8098006628394436,0.8805010398953663,0.9012997533574109
cg06443794,0.8814163062371527,0.44039555387038254,0.8580213790230979,0.9417120064407922,0.9487624978642651,0.942931308799861
cg21063192,0.9438905801448327,0.9372612626142114,0.08030620889998588,0.9418868050162661,0.8952601095848419,0.9051327445491756
cg25939861,0.08166749931466667,0.825993633392268,0.6741324467891193,0.9100509552253,0.9098883984874214,0.9172176455181154
cg13121392,0.35188213069714336,0.7184021855649315,0.0580110358580871,0.0329495197973769,0.034429332212425334,0.05908989213498387
