cpg_id,intercept_alpha,slope_gamma,r_squared,n_samples
cg00002033,0.9064317096758953,-0.000542008574091455,0.0030639043582260106,599
cg00002426,0.8979090707990958,-9.664519747792674e-06,1.2340975571456525e-05,601
cg00002749,0.9217148879460577,0.0009888832838898093,0.029502633238422282,245
cg00004700,0.9225796717975262,7.641946023358604e-05,0.0010109222468993595,600
cg00007466,0.9242164810954793,0.00015913457674895367,0.006896112552126188,601
cg00009750,0.9661844883893783,-0.00012442422475885355,0.0025988530842117052,586
cg00014203,0.9239170477640426,0.0008100215395702094,0.006642101719911753,188
cg00015530,0.0692729728075275,0.0004261204050360173,0.009709179114205657,601
cg00016968,0.9013803853037127,-0.0008857433130907623,0.06089663963060099,601
cg00017461,0.019976979671237648,2.6367120866047494e-05,0.0005116896048229513,588
cg00018229,0.07166883373145339,-0.00020183424414660367,0.00944326854907962,599
cg00021152,0.9857899631320423,-3.7814547993719474e-05,0.0004631910668190242,446
cg00023321,0.8996480036334525,-0.00012946181270349384,0.0007011416840779772,597
cg00025331,0.9110363826096185,9.435312489055713e-05,0.002591393331037306,601
cg00026290,0.13391732168135334,0.0010430550530858298,0.025906297388836874,601
cg00028336,0.929474100761558,4.416580110811755e-06,4.57905592088359e-06,601
cg00028929,0.7177418032634961,-0.000337516200369596,0.003201579481841632,601
cg00031013,0.9013786368329224,-0.0005936077070015592,0.01574103987193387,601
cg00031187,0.8697487685597742,-3.1071518656341798e-06,3.8410141334210834e-07,601
cg00034336,0.1284161471659655,0.000772207214041967,0.009464127842067849,597
cg00037681,0.0244618309313308,0.0005796547495871946,0.01955978876896336,565
cg00040016,0.9594088773928985,-0.00027643086795826145,0.007515698287511974,587
cg00041401,0.03860357969296457,-2.018218333497644e-07,2.1262061888904782e-08,600
cg00041575,0.06251199351964083,0.0005172804641132395,0.011222051860781956,595
cg00041666,0.8831411604537563,-0.00023985231358402342,0.004901245792814368,601
cg00041865,0.9745774208808395,-4.388828975709528e-05,0.0002743063475777463,492
cg00043076,0.942916327160899,-0.000432491417296043,0.010568968020758018,594
cg00045607,0.048546837452197594,-1.4348730496808224e-05,0.00013710852391934925,601
cg00045753,0.9450041059957761,-0.00018521700948021606,0.0018506601453422977,565
cg00047683,0.9335699363498812,-0.00017490656980051836,0.003160890969058916,600
cg00048743,0.17754058460769845,0.0011935412546920476,0.01159907917963754,600
cg00051307,0.9020858614301972,-0.00030598192740308096,0.011999438008937435,601
cg00055073,0.15009571131687346,0.0005792309199862155,0.018787207624210378,601
cg00057966,0.03717049653361781,1.031436319074065e-05,1.2172175092528548e-05,577
cg00058291,0.6162431246967549,0.001170697562414655,0.031946310137187184,601
cg00058449,0.22885004830528793,0.0013513377344270801,0.026386433191415315,600
cg00058887,0.8929984146766362,-0.0003036137071177319,0.0021963841670421536,601
cg00067884,0.9730381982019793,-0.000430399802254214,0.013974348589698593,583
cg00070899,0.9041413228638643,-0.0002651569862818989,0.0029671655456379176,601
cg00075967,0.8665325483061312,-0.0007992167386779127,0.023355775653108313,601
cg00078348,0.6555487453255444,0.0004885586500282727,0.0037515094974072127,601
cg00081602,0.9555992187318486,-0.0002649212926853927,0.011615288527307532,599
cg00082235,0.050905418180906006,7.993590065797455e-05,0.0034815128747430757,601
cg00082897,0.8145080778215801,0.00031488956555979355,0.0021821387413191173,599
cg00090674,0.8983418098986371,0.0001036300243296447,0.0005675609113733326,601
cg00092400,0.12150502944181407,0.0005836961844330952,0.014578025838213438,601
cg00098182,0.8361524279472609,-0.0008195385270307758,0.021087578667409845,601
cg00100680,0.9897947561528782,-0.0001780423333439616,0.004562706571281883,388
cg00101602,0.9104193218944038,6.217822427792074e-05,0.0002266196474172144,601
cg00118342,0.046556297869999055,0.000421623168434135,0.020389991297707577,600
cg00130808,0.6296140205523755,0.0014679895466112084,0.017393047144246054,599
cg00136822,0.9614776766826446,0.00018398646547639977,0.003336010295815428,451
cg00141162,0.03855603810782616,0.0001435708477386032,0.012011268867351488,599
cg00143809,0.9506562011530069,-0.0005238887765482145,0.0392835282144649,601
cg00144425,0.9786672830766606,0.00013325720127874637,0.005367655024821172,344
cg00147943,0.9228232074228978,-0.00019269019731635466,0.0022126766588282942,597
cg00149213,0.060216360267540535,0.0005108005772255372,0.015459480315727858,600
cg00150025,0.980615548943293,-0.00014644128049546133,0.006685211921545031,582
cg00150245,0.931704964297313,1.6552448710690945e-05,3.413819196274037e-05,593
cg00150520,0.9976744692948648,-3.946398961864564e-05,0.010212297622296695,530
cg00154950,0.9660133275829633,6.60263382645814e-05,0.0014713183505601357,584
cg00157012,0.18860689917021617,0.0009032463997061785,0.016442774358710333,599
cg00164282,0.04470938888068911,0.0003138470968546246,0.006494010063236688,581
cg00164583,0.9684694320236596,-3.4177636923399643e-05,0.000606665184193278,599
cg00164997,0.05564218612099467,0.0002042407154458292,0.01345175248322128,600
cg00166234,0.9963639796953687,1.7188264871597493e-05,0.002405066458185834,111
cg00166343,0.0348238963127591,0.0001875152898293207,0.002467327757064708,525
cg00167158,0.9735793176895922,-0.0001795420098250331,0.0027793566250702284,490
cg00168191,0.9433365207708986,7.6146472297324675e-06,1.0729593263758552e-05,599
cg00171729,0.9174996035798095,-2.9372822796031845e-05,0.00011623215051781433,599
cg00172074,0.9589488966639659,-2.766295412580657e-05,9.35937837521772e-05,583
cg00172603,0.08377706004570264,0.0007601198019672465,0.010111421274452859,600
cg00183886,0.9502953832284342,-0.00025923665490662013,0.0057205241982692945,594
cg00187503,0.9286975542892607,-0.00011148765732678857,0.0025016144342965285,601
cg00192220,0.34474914172875254,0.0010152755787052412,0.0185369675651732,601
cg00195796,0.154062178045344,0.0007879053388038796,0.03633843204089626,601
cg00199519,0.9670561718604199,-0.00013690152962161591,0.0010334639823469383,486
cg00200645,0.9120300229370837,-0.00016236864736550845,0.0055082723289346935,599
cg00203564,0.9583230082052306,1.4147197863116601e-05,2.1685713896713033e-05,547
cg00206063,0.9167207125091904,-2.742107267456431e-05,0.00011864025617158713,601
cg00208218,0.9496181219627265,-0.00014749100899641814,0.004013268505750567,596
cg00211625,0.9759063142875828,2.338753814181431e-05,8.367506739503927e-05,476
cg00212786,0.9052679192099632,0.00014205295860727113,0.00214972726384699,600
cg00213668,0.9242072879983434,-0.0004097706400517087,0.00740338750454117,600
cg00216138,0.12945413296220537,9.026571267102813e-05,0.0003016602066812091,600
cg00222625,0.9624671227368006,0.0001389697720534203,0.0018295121603281173,377
cg00225623,0.049277863356701895,1.7477905783983655e-05,1.4232571617034395e-05,585
cg00229257,0.005004111728260319,5.990039304375635e-06,0.00010313230527070338,344
cg00232092,0.527152899519004,0.0012077984406361753,0.021857086867020814,600
cg00232402,0.09534801650145606,0.0012729350556436006,0.024812979289765225,596
cg00232535,0.8891157437859312,-6.290541775723855e-05,0.0006886749218039112,601
cg00238318,0.03449643641935124,0.00015251269063254355,0.01144381283055651,599
cg00240653,0.027505727778410042,0.00018190881983887365,0.001176564645306577,492
cg00242035,0.06702174590364593,9.429783386940821e-05,0.002362871602015537,601
cg00245885,0.9157020712489999,6.1016004101721024e-05,0.0008253593063421993,601
cg00247963,0.5565998777603466,0.0012523980766936619,0.038300039254636986,601
cg00249032,0.9353696227266787,4.2276395324326503e-05,0.00016778372691894639,598
cg00249974,0.9187712965855357,0.0001645528325821389,0.006079918868826972,590
cg00250409,0.9045734007721217,-5.243387457081324e-05,0.0005233401128379445,601
cg00250805,0.9104754285298514,1.8687597246233978e-05,6.115488629365728e-05,601
cg00255726,0.10286484762341801,0.00020044236102849714,0.0020666939813926977,601
cg00257775,0.2500190979205056,0.0013787033990917271,0.02819210184414822,601
cg00263619,0.7740390400404223,0.0007021616063983705,0.015661614559087655,600
cg00265360,0.08946366907379277,0.000718781044700828,0.06790243348841118,599
cg00266566,0.9864656613569277,-0.00011677915931009038,0.0019020511814840102,247
cg00268644,0.9635563230017561,-0.00017250392328431902,0.003479926177848758,591
cg00269140,0.9485005036740695,-0.00018077529061165517,0.0019157749990210693,567
cg00270093,0.9153324915947244,-0.00026133632175939444,0.010469247389261693,601
cg00280812,0.840898291827383,-9.772348755936273e-05,0.0008384893354905776,599
cg00281100,0.9578440108452451,-0.00018318389200380224,0.0043396540800836325,588
cg00281977,-0.003487678503913825,0.0005165720161487711,0.010607292032118742,585
cg00285317,0.8889405252532928,-0.000209126275126313,0.002808701098714006,601
cg00287536,0.1488744325548939,0.00047280100620127345,0.0044492325818289435,601
cg00287915,0.1745374212937177,0.0012571052346920285,0.038789927589466755,601
cg00293644,0.8697918707093086,-0.00011422564141164808,0.0007706079197710158,601
cg00302521,0.009760117702532926,0.00016317039880294469,0.016840455305818347,594
cg00304959,0.9725263612151889,-0.0001441605313103655,0.011195516176218057,600
cg00308914,0.10354040239041953,0.0009496240348747013,0.027531058061133207,601
cg00311883,0.014820589781003679,1.4148604567601699e-05,3.709242582716765e-05,121
cg00318947,0.8953387743986104,-9.090478967893614e-05,0.00123164289560862,601
cg00320288,0.14449689388018705,0.0012295346613920104,0.044824241892487904,600
cg00325139,0.9022425898004488,-0.00010620191960476427,0.0014295398380420599,599
cg00325381,0.7940139072299551,-0.00038741354120045655,0.007855763333771026,601
cg00325491,0.9264376457101403,-0.000845034454328323,0.03267881425564634,598
cg00325531,0.427615120246379,0.0005347718093808288,0.0004945493031546233,601
cg00327577,0.9030777570439268,-0.00018297890287034775,0.0025948520387414353,600
cg00331101,0.05444057288973982,0.0002462685122740247,0.0071483308083991615,599
cg00335219,0.17051548736344266,0.0010669327258515935,0.030909616088456215,601
cg00339740,0.9553999951522011,-0.00020119653195667636,0.0065215291051540225,597
cg00344411,0.9231125629823895,-7.8991232363554e-05,0.000790026240213626,601
cg00344422,0.2621592996581447,4.2885293884337276e-05,1.2220669209361823e-05,600
