cpg,d_GSE51057,d_GSE51032,mean_abs_d,concordant
cg00002749,0.06724017510686416,-0.49110178714159364,0.2791709811242289,False
cg00004883,0.2761730342481456,0.255390278818267,0.2657816565332063,False
cg00006459,-0.5212101876732161,-0.5773089500775542,0.5492595688753852,True
cg00009088,-0.8780536506964981,-0.14163952475478506,0.5098465877256416,False
cg00011460,-0.13801951721805328,0.21709258176437238,0.17755604949121284,False
cg00011754,-0.7989976918754172,0.4368825027771285,0.6179400973262729,False
cg00013655,-0.057226300481730455,-0.1886716071320982,0.12294895380691434,False
cg00018696,-0.09414562351232894,0.03069401977488234,0.06241982164360564,False
cg00021152,-0.3913167678444818,-0.28444556244752023,0.33788116514600103,False
cg00025439,-0.703204787430251,-0.5847812852697862,0.6439930363500186,True
cg00027570,-1.0615010407012098,-0.46967787256466664,0.7655894566329382,True
cg00031063,0.17531458739742553,-0.04469958385743964,0.11000708562743258,False
cg00035000,0.5872419180700463,0.8497315436504403,0.7184867308602434,True
cg00040016,-0.45535785526123385,-0.009265558369493491,0.23231170681536367,False
cg00040047,-0.08733902078262717,-0.1280400273382728,0.10768952406044999,False
cg00041047,-0.04935220374033982,-0.3281749845655937,0.18876359415296676,False
cg00045114,-0.2255218709854548,-0.3142196139738418,0.26987074247964826,False
cg00047147,-0.056693158867220504,-0.5930828783690434,0.32488801861813194,False
cg00049868,-0.8401256860131232,-0.2792730471479437,0.5596993665805334,False
cg00052246,-1.039098937171961,-0.6132067207578482,0.8261528289649046,True
cg00054525,0.3751231581885124,0.39625348271063293,0.3856883204495727,True
cg00058449,-0.2915539966226871,-0.5124465101604525,0.4020002533915698,False
cg00066668,-0.37320720846539496,0.31722969556120345,0.3452184520132992,False
cg00067742,0.31626064161805106,0.17353487459703457,0.24489775810754283,False
cg00072407,-0.8349100558328473,-0.44065797385919553,0.6377840148460214,True
cg00076195,0.892839394220706,0.43911702120774393,0.665978207714225,True
cg00077281,-0.3405153046118604,-0.4976587806422693,0.41908704262706487,True
cg00077898,-0.2614608230527296,-0.5160837730968743,0.38877229807480196,False
cg00083535,-0.18237859148708604,0.18247945335537832,0.18242902242123218,False
cg00083596,-0.4350061842802889,-0.4562057141654713,0.4456059492228801,True
cg00083616,-0.9522263476959744,0.07737454565163247,0.5148004466738034,False
cg00088880,-0.7428367451799707,-0.71542202029159,0.7291293827357803,True
cg00091349,-0.365721629485925,-0.3095112403637067,0.33761643492481586,True
cg00095276,-1.320844885148441,-1.2184794231271912,1.2696621541378161,True
cg00103299,-0.820101784881372,-0.4847694510277548,0.6524356179545634,True
cg00103855,-0.46533561761137476,-0.323016718699774,0.3941761681555744,True
cg00107970,0.007939086325304746,-0.2177944892365239,0.11286678778091432,False
cg00114012,-0.3262338893637286,0.3879922528912281,0.35711307112747837,False
cg00114694,-1.166892319296316,-0.44747025375063243,0.8071812865234742,True
cg00116234,0.2457128300094422,-0.2364071893848896,0.2410600096971659,False
cg00117005,-0.3839576898203043,0.4259479601363278,0.4049528249783161,False
cg00117172,0.582350423407472,0.1191625319656673,0.35075647768656965,False
cg00123762,0.20480317315853433,0.17325809445787566,0.189030633808205,False
cg00129651,1.23481398197177,0.13952023102735978,0.6871671064995649,False
cg00132135,-0.2788409825474661,-0.2891841275004791,0.2840125550239726,False
cg00132509,0.21976102053701052,-0.21556772861431514,0.21766437457566284,False
cg00133204,0.47284187924847115,-0.008468203556802023,0.24065504140263658,False
cg00136477,-0.4930322087879337,0.065860645946266,0.27944642736709985,False
cg00138325,-0.49701341482114675,-0.3979995760008483,0.4475064954109975,True
cg00141925,-0.5207977147975791,-0.24102340237822908,0.38091055858790407,False
cg00144425,-0.22496295435701152,-0.06806429510652892,0.1465136247317702,False
cg00146565,-0.3078715032881069,0.06207208330648673,0.18497179329729682,False
cg00146928,-0.7019808621543533,-0.618326024099892,0.6601534431271227,True
cg00147638,-0.10924960600880256,-0.45276307514124814,0.2810063405750253,False
cg00148025,-0.7322247063544213,-0.162288312932939,0.44725650964368013,False
cg00149473,0.5151455900961861,0.5197188188216989,0.5174322044589426,True
cg00150231,-0.31356164918414386,0.5943529714762966,0.45395731033022024,False
cg00150245,-0.2207645093078478,0.1181094942859415,0.16943700179689464,False
cg00154950,0.1894587178951558,-0.029525657150132893,0.10949218752264435,False
cg00159523,-0.596942264594776,-0.4779008679793519,0.537421566287064,True
cg00159953,-0.5196476279170675,0.1196450764592805,0.319646352188174,False
cg00160302,-1.2039738335073509,0.026186831223600562,0.6150803323654758,False
cg00162673,0.308398006313787,-0.07201608592175066,0.19020704611776884,False
cg00164462,-0.8463987589260821,-1.4703161959462252,1.1583574774361536,True
cg00169184,-0.31387238646009713,-0.045857731031964985,0.17986505874603106,False
cg00184032,0.0626907409162515,0.07902748072441051,0.070859110820331,False
cg00185189,-0.5399194944482482,-0.08801388999675212,0.3139666922225001,False
cg00187129,-0.8844973388915851,-0.29843778101969326,0.5914675599556392,False
cg00208012,-0.13399212665888025,0.13165509044806775,0.132823608553474,False
cg00208274,-0.7519297129774781,0.16368468996404084,0.4578072014707595,False
cg00219921,-0.21704734887156074,-0.12829791781619765,0.1726726333438792,False
cg00225902,-0.6414052414479725,-0.19251698775719098,0.41696111460258173,False
cg00226849,-0.17207486619585355,-0.16763273330975229,0.1698537997528029,False
cg00226904,-1.0326523668568592,-0.24704473077349734,0.6398485488151783,False
cg00226923,-0.43509906359667494,-0.10955691784604665,0.2723279907213608,False
cg00227665,-0.16007802491860665,0.027080533015742897,0.09357927896717477,False
cg00228281,0.0758256702535884,-0.9443510733088032,0.5100883717811958,False
cg00229257,0.2123992394307761,0.5757991174243019,0.394099178427539,False
cg00232092,-0.5712045610839238,0.00563109403963783,0.2884178275617808,False
cg00232535,-0.9896602579693488,-0.16078615696711873,0.5752232074682337,False
cg00235484,0.22091563227422648,-0.03346151561158962,0.12718857394290806,False
cg00238318,0.013764195881883082,0.4297337923419895,0.2217489941119363,False
cg00239353,-0.16296379642229944,-0.3937786320382661,0.27837121423028277,False
cg00240378,0.1273381879333829,-0.8215517610743622,0.4744449745038726,False
cg00242786,0.5176360971735813,-0.4986788623647027,0.5081574797691419,False
cg00245885,-0.10342151100468244,-0.2689956278860106,0.18620856944534653,False
cg00246768,0.06968989884416964,-0.22158317023741242,0.14563653454079103,False
cg00248302,-0.4005292047790136,0.15727218061894027,0.27890069269897694,False
cg00252733,-0.7998314501510266,-0.0632778888757322,0.4315546695133794,False
cg00253339,-0.38944498701606306,0.2205420855284038,0.3049935362722334,False
cg00253681,-0.09151483504502565,0.22033171574992202,0.15592327539747383,False
cg00257659,-0.5829554320483052,0.1876050517736808,0.385280241910993,False
cg00259404,-1.0526660660695721,0.2172526123548954,0.6349593392122338,False
cg00263619,0.004982012493812773,0.05553406280153614,0.030258037647674457,False
cg00266566,-0.3445499603878889,-0.9290332666718646,0.6367916135298768,True
cg00270093,0.017878813266241852,-0.1948341102898216,0.10635646177803172,False
cg00277591,-0.25012610025560417,0.00892497891534211,0.12952553958547314,False
cg00282731,0.11566116784438324,0.6048488583141611,0.3602550130792722,False
cg00287713,-0.719415536489962,-0.033628467656973596,0.3765220020734678,False
cg00288598,0.02208939211820473,-0.21795117539098427,0.1200202837545945,False
cg00290355,-0.8772184660049559,0.019354879407980398,0.44828667270646816,False
cg00292305,0.039484356287580596,-0.17063643414027632,0.10506039521392846,False
cg00293189,-0.1725203366855456,-0.022453221987970656,0.09748677933675812,False
cg00294025,-0.7154119821950408,-0.4450176618698109,0.5802148220324258,True
cg00294814,-0.2652924840583365,-0.40934086659022456,0.33731667532428056,False
cg00306851,-0.6117864078661193,-0.3511599968129442,0.4814732023395317,True
cg00308936,-0.5511029677224494,-0.1497374569557404,0.35042021233909487,False
cg00311799,-0.6134698030771344,0.4186015056055348,0.5160356543413346,False
cg00319661,0.12025253265109473,-0.2438981210662208,0.18207532685865777,False
cg00320216,-0.8973235971336573,-0.3997967714137294,0.6485601842736933,True
cg00320539,0.7980700833281057,0.3832785779401244,0.590674330634115,True
cg00321911,-0.05225175737208993,-0.06024494331658555,0.05624835034433774,False
cg00324108,-0.6242322001220358,-0.56003700924843,0.5921346046852329,True
cg00326300,-1.1446165893828857,-0.31650243830107955,0.7305595138419826,True
cg00332822,0.05971487312773177,-0.6047339306308218,0.3322244018792768,False
cg00333364,-0.5050044580494795,-0.5586757018524917,0.5318400799509856,True
cg00342590,-0.677015396009351,-0.23968249439792952,0.4583489452036403,False
cg00343906,-0.30172622812196626,-0.6403633859014052,0.4710448070116857,True
cg00351554,-0.31168611873575136,-0.5617234130716509,0.4367047659037011,True
cg00357837,-0.43942468959810477,0.2885150574137645,0.3639698735059346,False
cg00362818,0.03196866653878023,-0.03251183974393616,0.0322402531413582,False
cg00366435,-0.4068672381042111,-0.148539747868452,0.27770349298633157,False
cg00367863,-0.6376328711046066,0.14844130104503941,0.393037086074823,False
cg00371195,-0.12291508039698841,-0.017923095302054513,0.07041908784952146,False
cg00375581,-0.014525483920015991,0.3134258289909499,0.16397565645548295,False
cg00376816,-0.5311682133236979,-0.40663124574527937,0.46889972953448866,True
cg00381974,0.25703959694418604,-0.47906823237506235,0.3680539146596242,False
cg00388905,0.1743215296012637,0.32196722425764696,0.24814437692945535,False
cg00391067,-0.7365411109190886,0.03888082023977273,0.38771096557943063,False
cg00400547,0.322045927307657,0.6040856486086615,0.4630657879581593,True
cg00401471,-0.9863362439045033,-0.5425429658287293,0.7644396048666162,True
cg00405190,-0.651233161361692,-0.2719077891695985,0.4615704752656452,False
cg00409636,-1.0891383738679983,-0.6131455156587515,0.8511419447633749,True
cg00420348,0.06363031729635642,-0.4397598748147436,0.25169509605555,False
cg00421164,-0.11306481956737896,0.15656879894676043,0.13481680925706968,False
cg00427150,0.09538383543916301,0.22643291846742666,0.16090837695329485,False
cg00437969,-0.52866085145276,-0.19570073305075844,0.3621807922517592,False
cg00438215,0.16234603293058536,0.12699843930463697,0.14467223611761115,False
cg00439089,-0.6425958984334635,-0.14540541127191448,0.394000654852689,False
cg00439981,-0.5461803786403244,-0.798346230571699,0.6722633046060117,True
cg00442430,-0.9721845514922166,-0.37840577228855526,0.675295161890386,True
cg00446123,-0.4448491105663932,-0.5066723010879078,0.4757607058271505,True
cg00447324,-0.599170908209356,0.06377555317686137,0.3314732306931087,False
