"probeID","EID","Basal","Fib","Gland","Macro","NeuIm","NeuMa","Peri","Plasma","Tcell","weight"
"cg00002749","81671","0.0","nan","nan","0.0","nan","nan","0.0","nan","nan","0.0"
"cg00011856","3488","0.0","0.0","0.5125","0.5125","0.5125","0.5125","0.5125","0.5125","0.5125","0.5125"
"cg00014112","2995","0.5969758988045732","0.5969758988045732","0.5969758988045732","0.5969758988045732","0.5969758988045732","0.5969758988045732","0.5969758988045732","0.0","0.5969758988045732","0.5969758988045732"
"cg00014194","10439","0.2583333333333333","0.2583333333333333","0.2583333333333333","0.2583333333333333","0.2583333333333333","0.0","0.2583333333333333","0.2583333333333333","0.2583333333333333","0.2583333333333333"
"cg00017970","79927","0.5675","0.5675","0.5675","0.5675","0.5675","0.5675","0.0","0.5675","0.5675","0.5675"
"cg00020191","6857","0.02","0.02","0.02","0.02","0.0","0.0","0.02","0.02","0.02","0.02"
"cg00027570","914","0.92","0.92","0.92","0.92","0.92","0.92","0.92","0.92","0.0","0.92"
"cg00028929","3852","0.0","0.8081074017886702","0.8081074017886702","0.8081074017886702","0.8081074017886702","0.8081074017886702","0.8081074017886702","0.8081074017886702","0.8081074017886702","0.8081074017886702"
"cg00029397","10540","nan","nan","nan","nan","0.0","0.0","nan","nan","nan","0.0"
"cg00040016","81671","0.0","nan","nan","0.0","nan","nan","0.0","nan","nan","0.0"
"cg00040588","54587","0.1670523252623975","0.0","0.1670523252623975","0.1670523252623975","0.1670523252623975","0.1670523252623975","0.1670523252623975","0.1670523252623975","0.1670523252623975","0.1670523252623975"
"cg00041666","23345","0.8314374630126548","0.8314374630126548","0.8314374630126548","0.8314374630126548","0.8314374630126548","0.8314374630126548","0.0","0.8314374630126548","0.8314374630126548","0.8314374630126548"
"cg00047147","3108","nan","nan","nan","0.0","nan","nan","0.0","nan","nan","0.0"
"cg00051483","168537","0.7504331019515231","0.7504331019515231","0.7504331019515231","0.7504331019515231","0.7504331019515231","0.7504331019515231","0.0","0.7504331019515231","0.7504331019515231","0.7504331019515231"
"cg00054525","1535","nan","nan","0.0","0.0","nan","nan","nan","0.0","0.0","0.0"
"cg00060287","1277","nan","0.0","nan","nan","nan","nan","nan","nan","nan","0.0"
"cg00067742","23040","0.8471428571428572","0.8471428571428572","0.8471428571428572","0.8471428571428572","0.0","0.8471428571428572","0.8471428571428572","0.8471428571428572","0.8471428571428572","0.8471428571428572"
"cg00078318","6664","0.042074889038616","0.042074889038616","0.042074889038616","0.042074889038616","0.0","0.0","0.042074889038616","0.042074889038616","0.042074889038616","0.042074889038616"
"cg00081084","1155","nan","nan","nan","nan","0.0","0.0","0.0","nan","nan","0.0"
